date,1. open,2. high,3. low,4. close,5. volume,5. change in price
2020-11-27 05:30:00,566.6,566.6,566.6,566.6,977.0,0.0
2020-11-27 05:29:00,566.6,566.68,566.6,566.68,927.0,0.07999999999992724
2020-11-27 05:26:00,566.42,566.42,566.25,566.25,466.0,-0.16999999999995907
2020-11-27 05:14:00,566.75,566.75,566.75,566.75,273.0,0.0
2020-11-27 05:12:00,567.0,567.0,567.0,567.0,591.0,0.0
2020-11-27 05:11:00,566.9,566.9,566.9,566.9,562.0,0.0
2020-11-27 05:10:00,566.98,566.98,566.2,566.2,1391.0,-0.7799999999999727
2020-11-27 05:09:00,566.75,566.75,566.75,566.75,250.0,0.0
2020-11-27 05:07:00,566.68,566.68,566.68,566.68,858.0,0.0
2020-11-27 05:05:00,564.93,564.93,564.93,564.93,548.0,0.0
2020-11-27 05:03:00,564.61,564.61,564.61,564.61,581.0,0.0
2020-11-27 05:00:00,564.0,564.0,564.0,564.0,302.0,0.0
2020-11-27 04:59:00,564.0,564.0,564.0,564.0,301.0,0.0
2020-11-27 04:58:00,564.0,564.02,564.0,564.01,2002.0,0.009999999999990905
2020-11-27 04:57:00,564.54,564.54,564.02,564.02,1519.0,-0.5199999999999818
2020-11-27 04:56:00,564.5,564.51,564.5,564.51,1081.0,0.009999999999990905
2020-11-27 04:55:00,565.26,565.26,565.0,565.0,3382.0,-0.2599999999999909
2020-11-27 04:54:00,565.5,565.5,565.5,565.5,352.0,0.0
2020-11-27 04:50:00,566.1,566.1,566.1,566.1,413.0,0.0
2020-11-27 04:49:00,566.1,566.1,566.0,566.0,1538.0,-0.10000000000002274
2020-11-27 04:47:00,566.1,566.1,566.1,566.1,431.0,0.0
2020-11-27 04:45:00,566.2,566.2,566.0,566.15,1684.0,-0.05000000000006821
2020-11-27 04:44:00,567.0,567.0,566.35,566.35,2201.0,-0.6499999999999773
2020-11-27 04:43:00,567.29,567.4,567.29,567.4,549.0,0.11000000000001364
2020-11-27 04:35:00,568.0,568.0,568.0,568.0,291.0,0.0
2020-11-27 04:27:00,569.15,569.15,569.0,569.0,1387.0,-0.14999999999997726
2020-11-27 04:24:00,569.0,569.0,569.0,569.0,456.0,0.0
2020-11-27 04:23:00,568.4,568.4,568.4,568.4,906.0,0.0
2020-11-27 04:19:00,568.25,568.25,568.25,568.25,544.0,0.0
