Date,Change In Price
2020-10-07,5.42999267578125
2020-10-08,-12.519989013671875
2020-10-09,3.8699951171875
2020-10-12,0.29998779296875
2020-10-13,3.29998779296875
2020-10-14,11.519989013671875
2020-10-15,-1.42999267578125
2020-10-16,-14.769989013671875
2020-10-19,-15.410003662109375
2020-10-20,-9.80999755859375
2020-10-21,-0.05999755859375
2020-10-22,-16.1300048828125
2020-10-23,-1.209991455078125
2020-10-26,8.649993896484375
2020-10-27,0.91998291015625
2020-10-28,-10.46002197265625
2020-10-29,0.8699951171875
2020-10-30,-18.8599853515625
2020-11-02,6.510009765625
2020-11-03,14.16998291015625
2020-11-04,-9.639984130859375
2020-11-05,9.790008544921875
2020-11-06,-6.149993896484375
2020-11-09,-18.239990234375
2020-11-10,-9.730010986328125
2020-11-11,0.67999267578125
